address,pubkey,value
121qDnoA5UD6svEKp89RY3cgbN946iqmsn,,700000
121srut3L3LdHQoTdhiQpj6TGN6umHdGq2,,47000000
1223WWEzdPhLjUWLi2qtUN9Ffq8cNL3mJg,,1017140000
1227PK4UHQin5cGJKW9Tfz3LGn3zcXpz55,,10610530000
1227V3pyo9rdvdS6zyhmFEWJXYKuMeqkET,,1006600000
12281pnvd1cyvNTEdEuLH8Z9Cmx9D4yhn6,,1004500000
122K6KUQszozMrT6MCi3GA15qKrEhXf7yp,,169000000
122NNwrN336BFBxyqmJ8zzvT2G3pMLccbG,,300100000000
122QL3JwTjRGq3nSbCt2YFikqwwbnDScbd,,700000
122WKXvgPu1hFNAKoRqF8b5uaiRQrWjJPA,,2100000
122X8Z79NW9bdEdjWFa3zGvjucdttyRh6y,,2800000
122a39b3aQq85MVpXbFyRo2hfxDby3knFP,,57192000000
122afGpPCGt2BAuxNZBUw89eKQMR2oBtVA,,106352230000
122kkaceC5tzuXQwp8t2zDvqYdcrPb2CWv,,179000000
122pGenAF7HPNnog5JcPXfHh5Avvou4j9X,,132300000
122qixvU9Dk3NLWdg8ZqLBt4s59U9TX6Rb,,1004500000
1239uWjC8GPGRmYrKDMkC6EULx2Bk8Qhzu,,2800000
123GZDag8devKHQtLu1Xu83c48h28RAZRE,,3529200000
123RFhz59AXDq217mtoqydqBMBmMbshhb3,,73000000
123RmkhQv6yMAT8grY1aLZn7321cRKQ7ov,,1004500000
123SvEoKNVVmrwczAtNGZe5yfEjnyxBAsu,,1004500000
123YTU6guphRZU9XQQzqBBDa1NAFJ5XjJC,,2100000
123aM6GFsHKKwjHRPCrp1Y5cKwMjrA3aeB,,1004500000
123fQDypAy4sQNd9oFBxS6y9c3ijCyBDY6,,2100000
123fZXmLbGekbxcRezpDnPK5C6rKy7hVVs,,126680730000
123gXSgmdEV5ABNzWGqwJDWsoM3aVkbf9k,,7434790000
123spebMjFZkrbkZcFrxN2ruQHsgnu63Bw,,1012200000
123xaSRSSq1uw8HLUcLegQhBfbUzCJW6dZ,,113400000
123zhqdYcCQQeUHtNShYwVmd4NpzYBomXu,,1004500000
1242GLX9Sbve7ke7pTsGrcGMQNTPfs1mpR,,1003800000
1246C7TRDzNJyTSjQe6av8NcKQmV2z2KpA,,110815680000
1249jLnooiz2EZfLMuqHVffWDbPxYwzLuo,,34217100000
1249w1WL1R5NxNeSe1ZkSacscNDJyyDxoe,,13349100000
124BPPJh8MHMsgAGqhGhWxyhTwnqVLXpkB,,37000000
124BUvn4D3KRhmix96ovBp8SDz6teuod8d,,1004500000
124Ja27FnDifD3P6vwfdZawV5wWRtrh84R,,1053840000
124KZhfTZrqRXm7xd4VFWEDSixcriGBaRT,,9789150000
124MdTsC61uViE9H68YozzbYyTZfsdaUjq,,396000000
124MoWQwHW2HphJtCMekkx3zVPWa3eYRiE,,700000
124RBCNgQBXdUBDQXSCXgbwet9qjQ1dni7,,1004500000
124RNqY2Ajx6YSv4wTSou1aUW4B2ZTQAzg,,51000000
124dz5Aq5zHZ5Pm1CQgbGAiiwUWxxXLQPB,,149073452000
124grBSpn7pQZHyhk6D5toVJuKQLJLVaEU,,2014600000
124ovZo9W1xE9WkTEJX6LGE5qDY4odXcp9,,1007300000
124q8SZF2jECahR5hjtA72xujZzK4f1ZCH,,857000000
124ru5eiG4sztxrCmno3RdF98aqs4XPWAJ,,1004500000
124sFVfBdkyA89mEQ6v9EWsQoKj6Gb2w1k,,1004500000
